Category,Subcategory,Note,Amount,Hour,DayOfWeek,Payment Mode
Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,155.0,13,Friday,Other
Health,Medicine,Cataract Medicine,87.0,12,Friday,Cash
Health,Medicine,Cataract Medicine,1048.0,9,Friday,Card
Food,curd,Dahi 4 packets,40.0,20,Thursday,Cash
Food,flour mill,M D sure 4kg atta,216.0,20,Wednesday,Cash
Apparel,Laundry,12 clothes ironing,84.0,17,Monday,Cash
Household,Hardware,Sony WI-C100 earphones wireless,1190.0,10,Monday,Card
Food,snacks,7 kachori,84.0,10,Monday,Cash
Food,fruits,,30.0,19,Sunday,Cash
Food,vegetables,,500.0,18,Sunday,Cash
Food,snacks,4 kachori,48.0,9,Sunday,Cash
Other,Other,CA  - income tax filing,2000.0,18,Saturday,Other
Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,188.0,14,Friday,Other
Health,Medicine,Cataract Medicine,1358.0,9,Friday,Card
Food,Eggs,6 eggs,35.0,0,Friday,Cash
Food,Bread,2 bread packets,57.0,0,Wednesday,Cash
Transportation,Petrol,3.4 Lit Petrol,360.0,0,Friday,Cash
Food,Biscuits,Toast packet,20.0,0,Friday,Cash
Food,Grocery,Shev bhaji sev pav kg,60.0,0,Friday,Cash
Transportation,Taxi,Ola cab - eye institute to Current Residence CHS,185.0,0,Tuesday,Cash
Food,Tea,3 cutting chai,30.0,0,Tuesday,Other
Health,Medicine,eye drop,153.0,0,Tuesday,Card
Health,Hospital,Hospital consultation,500.0,0,Tuesday,Cash
Transportation,Taxi,Ola cab - Current Residence CHS to eye institute,130.0,0,Tuesday,Cash
Transportation,Taxi,To and Fro Cab Fare Contribution,675.0,0,Tuesday,Other
Transportation,Train,Place 4 to Place 0,10.0,0,Saturday,Cash
Food,Lunch,At restaurant,2.0,0,Saturday,Card
subscription,Mahanagar Gas,,196.0,0,Saturday,Other
Food,Dinner,At restaurant,760.0,0,Thursday,Cash
Transportation,Taxi,Park Inn Goa,100.0,0,Thursday,Cash
Transportation,auto,Terminal 1 to Terminal 2,83.0,0,Monday,Cash
Food,Tea,cutting chai,7.0,0,Monday,Cash
Transportation,auto,Current Residence to Place 0,15.0,0,Monday,Cash
Transportation,Train,Place 0 to Place P,20.0,0,Monday,Cash
Health,Hospital,Doctor Fees,100.0,0,Saturday,Cash
Beauty,grooming,Shaving,50.0,0,Saturday,Cash
Family,Pocket money,,350.0,0,Saturday,Cash
Health,Lab Tests,2 Thyroid (1000) + cholesterol (220) + uric acid (220),1440.0,0,Saturday,Other
maid,Other,,500.0,0,Wednesday,Cash
Food,Milk,Half lit  milk,36.0,0,Wednesday,Other
subscription,Tata Sky,Current Residence - Tata Play recharge,154.0,0,Wednesday,Card
Household,Kirana,Supermart,1595.0,0,Wednesday,Other
Transportation,auto,Place 1 bridge to Current Residence 2 seats,50.0,0,Wednesday,Cash
Transportation,Bus,2 Place 6 Stand to MS,20.0,0,Wednesday,Cash
Household,home decor,Face towels + shampoo,626.0,0,Wednesday,Card
Transportation,Bus,2 Place 1 to  mall,26.0,0,Wednesday,Cash
Transportation,auto,Current Residence to Place 1 bus stop highway,40.0,0,Wednesday,Cash
Culture,Movie,2 PVR ,461.0,0,Sunday,Card
Transportation,Travels,2 Place 2 to Place 1 - Shree Sharma Travels,1890.0,0,Sunday,Card
Food,snacks,Vadapav,15.0,0,Sunday,Other
Apparel,Clothing,undergarments pair of Jockey,430.0,0,Sunday,Other
Apparel,Laundry,clothes ironing,98.0,0,Sunday,Cash
Food,Milk,milk 1lit ,72.0,0,Sunday,Other
Money transfer,Home,,10000.0,0,Sunday,Other
Household,Appliances,Aqugurad PRV,1200.0,18,Saturday,Other
Household,Hardware,Tulsi plant+ pot,70.0,16,Friday,Cash
Household,Kitchen,Math tap repair,50.0,16,Friday,Cash
Household,Appliances,3 bulbs 3 pencil cells,270.0,15,Friday,Cash
Food,Dinner,Home Food Delivery,455.0,20,Thursday,Card
Food,snacks,Bhaji + vadapav + kachori+ tea,70.0,18,Thursday,Cash
Transportation,Taxi,Vadala road to Nehru Planetarium,228.0,15,Thursday,Cash
Apparel,Footwear,Mast & Harbour Slides,64.82,10,Thursday,Card
Tourism,Entry Fees,Planetarium,308.85,21,Wednesday,Card
Food,Tea,2 cups,14.0,18,Wednesday,Cash
Household,gadgets,Mobile cover real mi note pro,100.0,18,Wednesday,Cash
Other,Other,Shopping at Alfa,4720.0,18,Wednesday,Card
Household,gadgets,Mouse pad,100.0,18,Wednesday,Cash
Apparel,Accessories,Purse,450.0,18,Wednesday,Card
Apparel,Footwear,Rainy season chappal,550.0,18,Wednesday,Card
Transportation,auto,Place P station to Alfa market,25.0,18,Wednesday,Cash
Transportation,Train,2 Place 0 to Place P return,80.0,14,Wednesday,Cash
Transportation,auto,2 Current Residence to Place 0,30.0,13,Wednesday,Cash
Transportation,auto,2 Place 0 to Current Residence,30.0,19,Tuesday,Cash
Household,Kirana,Supermart,1990.0,19,Tuesday,Card
Household,Appliances,Aqugurad water purifier,13050.0,17,Tuesday,Other
Household,Hardware,Umbrella handle repair,70.0,12,Tuesday,Other
Transportation,Train,Place 0 to Place 4 return,20.0,11,Tuesday,Cash
Food,Tea,2 cutting chai,20.0,11,Tuesday,Cash
Food,snacks,Bhaji + vadapav,30.0,11,Tuesday,Cash
Food,Lunch,Home Food Delivery,320.0,15,Monday,Other
Household,Kirana,Smart point,2074.0,14,Monday,Card
Transportation,auto,2 Place 0 to Current Residence,40.0,16,Sunday,Cash
Food,breakfast,Bread,18.0,16,Sunday,Other
Food,Milk,milk 1lit ,72.0,16,Sunday,Other
Health,Health,Suppliemnts,211.75,14,Sunday,Card
Transportation,Train,2 Place 5 to Place 0,30.0,13,Sunday,Cash
subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,11,Sunday,Card
Food,snacks,2 Vadapav 2 samosa pav,60.0,11,Sunday,Cash
subscription,Mobile Service Provider,Annual recharge,2545.0,19,Saturday,Card
Transportation,auto,,30.0,10,Saturday,Cash
subscription,Mobile Service Provider,Data booster pack,181.0,15,Friday,Other
Family,Pocket money,,2000.0,13,Tuesday,Other
subscription,Mobile Service Provider,Data booster pack,25.0,10,Tuesday,Other
subscription,Mobile Service Provider,Data booster pack,15.0,22,Monday,Other
subscription,Mobile Service Provider,Data booster pack,15.0,21,Friday,Other
Transportation,train,2CC Place 2 to DDR Spl Train,1213.6,9,Friday,Other
Food,Eggs,12 eggs,84.0,0,Tuesday,Cash
Self-development,Other,Marathon,1407.0,0,Tuesday,Card
Household,home decor,Sofa covers,3000.0,0,Saturday,Other
subscription,Mobile Service Provider,Data booster pack,667.0,0,Thursday,Card
subscription,Mobile Service Provider,Data booster pack,25.0,14,Monday,Card
Beauty,grooming,hair cut,100.0,10,Monday,Cash
Household,Kirana,Soap + dahya pav kg,75.0,10,Sunday,Cash
Transportation,auto,Permanent Residence to Motor Driving school,50.0,7,Saturday,Cash
subscription,Mobile Service Provider,Data booster pack,667.0,9,Thursday,Other
subscription,Tata Sky,Permanent Residence - Tata Play recharge,166.0,21,Wednesday,Card
Health,Health,2 All out refill,154.0,20,Tuesday,Cash
Family,Pocket money,,140.0,14,Monday,Cash
Family,misc,"Soap, shampoo, razor",122.0,14,Sunday,Other
Household,Kitchen,flour mill,25.0,19,Saturday,Cash
subscription,Mobile Service Provider,Data booster pack,15.0,15,Saturday,Other
subscription,Mobile Service Provider,Data booster pack,301.0,15,Friday,Other
Food,Ice cream,Cookies & cream family pack,135.0,20,Tuesday,Other
Transportation,auto,within city,30.0,20,Tuesday,Cash
Household,Appliances,LG Washing Machine,21500.0,20,Tuesday,Other
Transportation,auto,Permanent Residence to GH road,50.0,18,Tuesday,Cash
subscription,Mobile Service Provider,Data booster pack,301.0,23,Monday,Other
Other,Other,Digilock room charges,40.0,22,Monday,Cash
Transportation,auto,Place 2 station to Permanent Residence,50.0,22,Monday,Cash
Food,snacks,Potato chips,15.0,18,Monday,Cash
Food,fruits,2 dozens mango + 1kg litchi,1250.0,12,Monday,Other
Transportation,Train,2 Place 0 to Place 3,40.0,9,Monday,Cash
Transportation,auto,2 Current Residence to Place 0,40.0,9,Monday,Cash
Apparel,Laundry,clothes ironing,77.0,20,Sunday,Cash
Education,Stationary,Gel pen Refills,12.0,20,Sunday,Cash
Food,Dinner,Domino's Pizza,437.0,0,Wednesday,Card
Food,Lunch,Catering Service,70.0,0,Wednesday,Cash
Food,snacks,4 kachori,48.0,0,Wednesday,Cash
Food,Milk,milk 1lit ,72.0,0,Wednesday,Other
Food,Rajgira ladu,1 packet,20.0,0,Monday,Cash
Food,Ice cream,2 Faluda,80.0,0,Friday,Other
subscription,Newspaper,Mata + TOI + ET,12.0,0,Wednesday,Cash
Food,Biscuits,Toast packet,45.0,0,Wednesday,Cash
Food,Milk,Half lit  milk,36.0,0,Wednesday,Cash
subscription,Netflix,,199.0,0,Wednesday,Card
Food,Sweets,Kaju katli half kg,500.0,0,Sunday,Cash
Food,Milk,milk 1lit ,72.0,0,Sunday,Other
Beauty,grooming,Shaving,50.0,0,Sunday,Cash
Household,Toiletries,Handwash container2 + window cleaner,1086.0,0,Thursday,Card
Transportation,Bike,Mall parking,20.0,0,Thursday,Cash
subscription,Mahanagar Gas,,515.0,0,Thursday,Other
Food,Lunch,Home Food Delivery,430.0,0,Thursday,Other
Food,Milk,milk 1lit ,72.0,0,Thursday,Cash
Family,Pocket money,,600.0,0,Saturday,Cash
Household,Kirana,Supermart,37.0,0,Thursday,Cash
Food,Milk,milk 1lit ,72.0,0,Thursday,Other
Food,snacks,Bhaji + vadapav,40.0,0,Monday,Other
Food,fruits,Mango 1.5 kg,280.0,0,Monday,Other
Food,Milk,milk 1lit ,72.0,0,Friday,Cash
Health,Medicine,ITone eye drops,43.0,0,Friday,Other
Health,Medicine,Refresh Tears Drop,122.0,0,Friday,Other
Family,Pocket money,,260.0,0,Friday,Cash
Money transfer,Home,,10000.0,0,Friday,Other
Food,snacks,6 kachori,72.0,18,Monday,Cash
Household,Kirana,Supermart,165.0,18,Monday,Cash
subscription,Tata Sky,Current Residence - Tata Play recharge,176.0,9,Monday,Card
Food,Biscuits,Toast packet,45.0,9,Monday,Cash
Food,Milk,milk 1lit ,72.0,9,Monday,Cash
Gift,Other,To Family,500.0,6,Monday,Cash
Food,beverage,2 sugarcane juice,40.0,18,Sunday,Other
Food,Dinner,Home Food Delivery,413.0,21,Saturday,Card
Family,Pocket money,,500.0,10,Saturday,Cash
Household,Kirana,Supermart,295.0,18,Friday,Cash
Food,snacks,Noodles packet,30.0,20,Thursday,Cash
Food,Milk,milk 1lit ,72.0,20,Thursday,Other
Family,Pocket money,,1000.0,11,Thursday,Cash
Food,Lunch,Catering Service,70.0,18,Wednesday,Cash
subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,22,Tuesday,Card
Household,Kirana,Idli pith 1kg,38.0,18,Monday,Other
maid,Other,,500.0,15,Monday,Cash
Food,vegetables,,10.0,21,Sunday,Cash
Household,Kirana,Supermart,190.0,12,Sunday,Cash
Food,Milk,milk 1lit ,72.0,12,Sunday,Other
Food,Ice cream,Naturals,160.0,23,Saturday,Cash
Food,curd,Dahi 2 packets,20.0,21,Saturday,Cash
Food,Dinner,Sugaran Kitchen,70.0,20,Friday,Other
Household,Kitchen,flour mill,14.0,20,Thursday,Cash
Food,Eggs,6 eggs,36.0,9,Thursday,Other
Food,Milk,milk 1lit ,72.0,9,Thursday,Other
Food,Milk,milk 1lit ,72.0,9,Tuesday,Cash
Education,Stationary,3 Pens,21.0,22,Monday,Other
Apparel,Laundry,clothes ironing,63.0,20,Monday,Other
Household,Kirana,Cockroach injection,270.0,20,Monday,Other
Household,Kirana,Supermart,265.0,18,Monday,Other
Household,Kirana,Smart point,450.0,18,Monday,Card
Food,snacks,pav Bhaji,70.0,19,Sunday,Cash
Food,Tea,2 cutting chai,20.0,19,Sunday,Cash
Household,Kitchen,"Vessels for sugar, coffee and tea",799.0,19,Sunday,Card
Family,makeup,Body mist,525.0,14,Sunday,Card
Transportation,Bike,Station Parking,10.0,14,Sunday,Cash
Transportation,Train,Place 0 to Place 4 return,20.0,14,Sunday,Cash
Food,Lunch,Catering Service,70.0,14,Sunday,Cash
Household,Kirana,Supermart,107.0,22,Saturday,Other
Food,Grocery,Pizza base packet 2,40.0,22,Saturday,Other
Food,Biscuits,Khari packet,45.0,6,Saturday,Other
Food,Milk,milk 1lit ,72.0,6,Saturday,Other
Health,Lab Tests,Family Thyroid Test + CBC,700.0,20,Friday,Cash
subscription,Netflix,,199.0,0,Tuesday,Card
Household,Kirana,,112.0,0,Tuesday,Cash
Food,snacks,Pattice,20.0,0,Tuesday,Cash
Food,Lunch,Catering Service,130.0,0,Tuesday,Cash
Food,breakfast,Bread,18.0,0,Thursday,Cash
Food,Lunch,Catering Service,70.0,0,Thursday,Cash
Gift,Other,farewell contribution,250.0,0,Thursday,Other
Food,Grocery,Ginger,10.0,0,Tuesday,Cash
Food,Milk,milk 1lit ,72.0,0,Tuesday,Cash
Household,Kirana,Supermart,1857.0,0,Wednesday,Card
Household,Kirana,Pav kg chana dal,24.0,0,Wednesday,Cash
Food,Milk,Half lit  milk,36.0,0,Wednesday,Cash
Money transfer,Home,,24500.0,0,Monday,Other
Household,Kirana,Idli pith 1kg,38.0,0,Friday,Cash
Food,Eggs,6 eggs,36.0,0,Friday,Cash
Food,Milk,milk 1lit ,72.0,0,Friday,Cash
Food,Lunch,Catering Service,130.0,0,Friday,Cash
Transportation,Bike,Mall parking,20.0,0,Sunday,Cash
Household,Hardware,Window cleaner,149.0,0,Sunday,Card
Food,Grocery,Pav kg Lahsoon,24.0,0,Sunday,Cash
Food,curd,Dahi 2 packets,20.0,0,Sunday,Cash
Food,Onions,onion 2 kg,36.0,0,Sunday,Cash
maid,Other,,2000.0,0,Sunday,Cash
Other,Other,ATM charge,5.9,0,Thursday,Other
Other,Other,ATM charge,24.78,0,Thursday,Other
Food,Milk,milk 1lit ,72.0,0,Thursday,Cash
Money transfer,Home,,10005.9,0,Thursday,Other
Food,Ice cream,2 chocobar,45.0,21,Saturday,Other
Food,Dinner,Home Food Delivery,244.0,19,Saturday,Card
Food,Lunch,Domino's Pizza,419.0,13,Saturday,Card
Transportation,Bike,Station Parking,10.0,11,Saturday,Other
Transportation,Train,Place 0 to Sion returns,30.0,7,Saturday,Cash
Food,snacks,1 Panipuri,25.0,20,Friday,Cash
Food,vegetables,Ginger + green chilli,20.0,11,Friday,Cash
Food,Milk,milk 1lit ,72.0,11,Friday,Cash
Food,Dinner,At restaurant,1234.0,20,Thursday,Card
Food,breakfast,Bread,35.0,19,Tuesday,Cash
Food,Milk,milk 1lit ,72.0,13,Monday,Other
subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,9,Monday,Card
Transportation,Bike,Station Parking,10.0,21,Sunday,Cash
Food,snacks,Popcorn family pack,25.0,21,Sunday,Cash
Food,Tea,2 tea,20.0,21,Sunday,Cash
Food,snacks,2 Frankie,160.0,21,Sunday,Cash
Food,snacks,French crossiant,80.0,21,Sunday,Card
Food,Tea,IKEA tea 3,240.0,21,Sunday,Card
Culture,Books,Finding next Job,100.0,19,Friday,Cash
Food,flour mill,1 kg Bajari,7.0,22,Thursday,Other
Food,vegetables,Half kg tomato,15.0,22,Thursday,Cash
Household,Kirana,Supermart,153.0,20,Thursday,Other
Food,snacks,Pickle,150.0,19,Thursday,Other
Food,snacks,Potato chips,150.0,19,Thursday,Cash
Food,Rajgira ladu,1 packet,20.0,12,Thursday,Cash
Food,Milk,milk 1lit ,72.0,12,Thursday,Cash
Food,snacks,2 kachori,24.0,23,Wednesday,Other
Household,Kirana,Idli pith 1kg,38.0,18,Wednesday,Card
Family,Pocket money,,50.0,17,Wednesday,Cash
Food,Dinner,2 Fried rice,246.0,20,Tuesday,Card
Other,Other,,17.0,16,Tuesday,Other
Food,snacks,Chicken lollypop 8 pcs,215.75,16,Tuesday,Card
Food,breakfast,Bread,18.0,16,Tuesday,Cash
Food,Eggs,6 eggs,36.0,16,Tuesday,Cash
Food,Milk,Half lit  milk,36.0,16,Tuesday,Cash
Transportation,Bike,Station Parking,10.0,20,Sunday,Cash
Food,snacks,Dabeli,15.0,18,Sunday,Cash
Family,clothes,Trouser,799.0,18,Sunday,Card
Family,clothes,Belt + bow,498.0,18,Sunday,Card
Food,snacks,Papad packet,50.0,17,Sunday,Cash
Food,snacks,1 Panipuri,30.0,17,Sunday,Cash
Food,Tea,cutting chai,10.0,17,Sunday,Cash
Transportation,Train,Place 0 to Place 4 return,20.0,16,Sunday,Cash
Food,Lunch,Catering Service,30.0,22,Saturday,Cash
Food,Milk,Half lit  milk,37.0,13,Saturday,Other
Food,Lunch,Catering Service,60.0,16,Thursday,Cash
Food,Milk,Half lit  milk,36.0,16,Thursday,Other
Household,Kirana,Mayonnaise + cheese cubes,140.0,21,Wednesday,Cash
Food,Onions,onion 2 kg,40.0,21,Wednesday,Cash
Food,Dinner,Domino's Pizza,578.0,6,Wednesday,Card
Family,Pocket money,,480.0,12,Tuesday,Cash
Food,Milk,Half lit  milk,36.0,9,Tuesday,Other
Transportation,train,2 Place 3 to Place 2 : Sevagram express 3AC,1293.0,0,Monday,Other
Household,Hardware,Mosquito Racket,300.0,0,Wednesday,Cash
Health,Health,All out refill,77.0,0,Wednesday,Cash
Food,Milk,1 lit ,72.0,0,Wednesday,Cash
Food,Milk,Half lit  milk,36.0,0,Wednesday,Cash
Apparel,Laundry,clothes ironing,91.0,0,Friday,Other
Food,Bread,Flatbread 12 pcs,40.0,0,Friday,Cash
subscription,Mahanagar Gas,,540.0,0,Friday,Other
Food,Eggs,6 eggs,36.0,0,Friday,Cash
Food,Milk,Half lit  milk,36.0,0,Friday,Cash
Festivals,Holi,Holi Tip to cleaner,20.0,0,Tuesday,Other
Food,snacks,2 Vadapav,30.0,0,Tuesday,Other
Health,Medicine,Thyroid Tablets,172.0,0,Sunday,Cash
Health,Medicine,5 Meftal spas,22.0,0,Sunday,Cash
Education,Stationary,Xerox,4.0,0,Sunday,Other
Food,Milk,Half lit  milk,36.0,0,Sunday,Cash
Documents,Courier,Aadhar PUC card delivery,50.0,0,Sunday,Card
Family,Pocket money,,50.0,0,Sunday,Cash
Food,Ice cream,chocobar,20.0,0,Thursday,Cash
Food,flour mill,M D sure 3kg atta,162.0,0,Thursday,Other
Household,Kirana,Supermart,1357.0,0,Thursday,Card
Household,Kirana,Smart point,972.0,0,Thursday,Card
Other,Other,blanket sewing,10.0,0,Thursday,Other
Family,Pocket money,,450.0,0,Tuesday,Cash
Food,Lunch,Catering Service,130.0,0,Tuesday,Cash
Food,Milk,Half lit  milk,36.0,0,Saturday,Other
Food,Ice cream,chocobar,15.0,0,Saturday,Other
Food,Dinner,Domino's Pizza,189.0,0,Wednesday,Card
Food,Eggs,6 eggs,36.0,0,Wednesday,Cash
Money transfer,Home,,10000.0,0,Wednesday,Other
Food,Biscuits,Khari packet,45.0,20,Wednesday,Other
Food,Milk,Half lit Varna milk,36.0,20,Wednesday,Other
Food,Onions,onion 1 kg,30.0,20,Wednesday,Card
Food,Potato,potato 1kg,18.0,20,Wednesday,Card
Household,Kirana,Idli pith 1kg,38.0,19,Tuesday,Card
Food,Lunch,5 chapati,30.0,13,Tuesday,Cash
Food,Milk,1 lit ,73.0,22,Monday,Other
Household,Toiletries,Mirror repair,140.0,19,Monday,Other
Transportation,Bike,First servicing,443.0,18,Monday,Card
Food,beverage,chaas,17.0,12,Monday,Other
Food,Bread,Flatbread 12 pcs,40.0,20,Saturday,Other
Health,Medicine,Refresh Tears Drop,128.0,22,Friday,Cash
Food,Rajgira ladu,1 packet,20.0,7,Friday,Other
Food,Milk,1 lit ,72.0,6,Friday,Other
subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,23,Thursday,Other
Food,beverage,Limca,20.0,20,Thursday,Other
Food,Onions,onion 1 kg,20.0,20,Thursday,Other
Food,Lunch,Catering Service,192.0,19,Thursday,Other
Household,Appliances,Kitchen fan + installation+ repair,2600.0,21,Tuesday,Other
Beauty,grooming,hair cut+shaving,170.0,22,Monday,Other
Food,Milk,1 lit ,72.0,9,Monday,Other
Food,snacks,2 kachori,24.0,9,Monday,Other
Food,Dinner,BBQ,1783.0,23,Saturday,Card
Family,clothes,,3598.0,23,Saturday,Card
Transportation,Bike,Mall parking,20.0,19,Saturday,Cash
Food,Lunch,5 chapati,30.0,19,Saturday,Cash
Food,snacks,banana chips,45.0,8,Friday,Other
Food,Biscuits,Khari packet,45.0,8,Friday,Other
Food,Milk,1 lit ,72.0,8,Friday,Other
Food,Ice cream,chocobar,35.0,19,Thursday,Other
Food,Grocery,Half kg tomato + methi 1 judi,30.0,19,Thursday,Other
Household,Kirana,Supermart,117.0,19,Thursday,Card
Food,snacks,1 chicken shawarma,60.0,19,Wednesday,Other
Food,Potato,potato 1kg,25.0,20,Tuesday,Card
Food,Bread,Bread,35.0,20,Tuesday,Other
